# NKTC all-region configuration: 34 tỉnh/thành sau sáp nhập.
# Format: Tên sheet<TAB>tên địa phương hiện tại | tên tỉnh/thành cũ cần nhận diện
# Mỗi sheet dùng tên tỉnh/thành sau sáp nhập. Chỉ sửa phần sau Tab khi cần thêm alias.

Cao Bằng	Cao Bang
Lạng Sơn	Lang Son
Quảng Ninh	Quang Ninh
Bắc Ninh	Bac Ninh | Bac Giang
Hưng Yên	Hung Yen | Thai Binh
Hải Phòng	Hai Phong | Hai Duong
Ninh Bình	Ninh Binh | Ha Nam | Nam Dinh
Phú Thọ	Phu Tho | Vinh Phuc | Hoa Binh
Sơn La	Son La
Lai Châu	Lai Chau
Điện Biên	Dien Bien
Lào Cai	Lao Cai | Yen Bai
Tuyên Quang	Tuyen Quang | Ha Giang
Thái Nguyên	Thai Nguyen | Bac Kan
Hà Nội	Ha Noi | TP Ha Noi | Thanh pho Ha Noi
Thanh Hóa	Thanh Hoa
Nghệ An	Nghe An
Hà Tĩnh	Ha Tinh
Quảng Trị	Quang Tri | Quang Binh
Huế	Hue | Thanh pho Hue | Thua Thien Hue
Đà Nẵng	Da Nang | TP Da Nang | Thanh pho Da Nang | Quang Nam
Quảng Ngãi	Quang Ngai | Kon Tum
Gia Lai	Gia Lai | Binh Dinh
Đắk Lắk	Dak Lak | Daklak | Phu Yen
Khánh Hòa	Khanh Hoa | Ninh Thuan
Lâm Đồng	Lam Dong | Dak Nong | Daknong | Binh Thuan
Đồng Nai	Dong Nai | Binh Phuoc
Tây Ninh	Tay Ninh | Long An
Hồ Chí Minh	Ho Chi Minh | Thanh pho Ho Chi Minh | TP Ho Chi Minh | TP HCM | TPHCM | TP.HCM | TP. HCM | Binh Duong | Ba Ria Vung Tau | Ba Ria - Vung Tau
Đồng Tháp	Dong Thap | Tien Giang
Vĩnh Long	Vinh Long | Ben Tre | Tra Vinh
Cần Thơ	Can Tho | TP Can Tho | Thanh pho Can Tho | Hau Giang | Soc Trang
An Giang	An Giang | Kien Giang
Cà Mau	Ca Mau | Bac Lieu
